,Date,NY Unemployment Rate
0,1976-01-01,10.3
1,1976-02-01,10.3
2,1976-03-01,10.2
3,1976-04-01,10.2
4,1976-05-01,10.2
5,1976-06-01,10.2
6,1976-07-01,10.2
7,1976-08-01,10.2
8,1976-09-01,10.2
9,1976-10-01,10.2
10,1976-11-01,10.2
11,1976-12-01,10.1
12,1977-01-01,10.0
13,1977-02-01,9.9
14,1977-03-01,9.7
15,1977-04-01,9.5
16,1977-05-01,9.3
17,1977-06-01,9.1
18,1977-07-01,9.0
19,1977-08-01,8.8
20,1977-09-01,8.7
21,1977-10-01,8.6
22,1977-11-01,8.5
23,1977-12-01,8.4
24,1978-01-01,8.3
25,1978-02-01,8.1
26,1978-03-01,8.0
27,1978-04-01,7.9
28,1978-05-01,7.9
29,1978-06-01,7.8
30,1978-07-01,7.7
31,1978-08-01,7.6
32,1978-09-01,7.6
33,1978-10-01,7.5
34,1978-11-01,7.4
35,1978-12-01,7.3
36,1979-01-01,7.2
37,1979-02-01,7.1
38,1979-03-01,7.1
39,1979-04-01,7.0
40,1979-05-01,7.1
41,1979-06-01,7.1
42,1979-07-01,7.2
43,1979-08-01,7.2
44,1979-09-01,7.3
45,1979-10-01,7.3
46,1979-11-01,7.3
47,1979-12-01,7.2
48,1980-01-01,7.2
49,1980-02-01,7.2
50,1980-03-01,7.3
51,1980-04-01,7.4
52,1980-05-01,7.5
53,1980-06-01,7.6
54,1980-07-01,7.7
55,1980-08-01,7.6
56,1980-09-01,7.6
57,1980-10-01,7.5
58,1980-11-01,7.6
59,1980-12-01,7.6
60,1981-01-01,7.7
61,1981-02-01,7.7
62,1981-03-01,7.7
63,1981-04-01,7.7
64,1981-05-01,7.6
65,1981-06-01,7.5
66,1981-07-01,7.4
67,1981-08-01,7.4
68,1981-09-01,7.4
69,1981-10-01,7.5
70,1981-11-01,7.6
71,1981-12-01,7.8
72,1982-01-01,7.9
73,1982-02-01,8.0
74,1982-03-01,8.1
75,1982-04-01,8.2
76,1982-05-01,8.2
77,1982-06-01,8.3
78,1982-07-01,8.4
79,1982-08-01,8.5
80,1982-09-01,8.7
81,1982-10-01,8.9
82,1982-11-01,9.1
83,1982-12-01,9.2
84,1983-01-01,9.3
85,1983-02-01,9.3
86,1983-03-01,9.2
87,1983-04-01,9.2
88,1983-05-01,9.1
89,1983-06-01,8.9
90,1983-07-01,8.7
91,1983-08-01,8.5
92,1983-09-01,8.3
93,1983-10-01,8.1
94,1983-11-01,7.9
95,1983-12-01,7.7
96,1984-01-01,7.5
97,1984-02-01,7.3
98,1984-03-01,7.2
99,1984-04-01,7.2
100,1984-05-01,7.2
101,1984-06-01,7.2
102,1984-07-01,7.2
103,1984-08-01,7.2
104,1984-09-01,7.2
105,1984-10-01,7.1
106,1984-11-01,7.0
107,1984-12-01,6.8
