,Date,Ohio Unemployment Rate
0,1976-01-01,8.1
1,1976-02-01,8.1
2,1976-03-01,8.1
3,1976-04-01,8.0
4,1976-05-01,7.9
5,1976-06-01,7.7
6,1976-07-01,7.6
7,1976-08-01,7.5
8,1976-09-01,7.5
9,1976-10-01,7.5
10,1976-11-01,7.6
11,1976-12-01,7.6
12,1977-01-01,7.6
13,1977-02-01,7.4
14,1977-03-01,7.2
15,1977-04-01,6.9
16,1977-05-01,6.6
17,1977-06-01,6.4
18,1977-07-01,6.2
19,1977-08-01,6.1
20,1977-09-01,6.1
21,1977-10-01,6.0
22,1977-11-01,5.9
23,1977-12-01,5.8
24,1978-01-01,5.7
25,1978-02-01,5.6
26,1978-03-01,5.5
27,1978-04-01,5.5
28,1978-05-01,5.4
29,1978-06-01,5.4
30,1978-07-01,5.3
31,1978-08-01,5.3
32,1978-09-01,5.4
33,1978-10-01,5.4
34,1978-11-01,5.5
35,1978-12-01,5.6
36,1979-01-01,5.6
37,1979-02-01,5.7
38,1979-03-01,5.7
39,1979-04-01,5.7
40,1979-05-01,5.7
41,1979-06-01,5.8
42,1979-07-01,5.9
43,1979-08-01,5.9
44,1979-09-01,6.0
45,1979-10-01,6.0
46,1979-11-01,6.0
47,1979-12-01,6.0
48,1980-01-01,6.2
49,1980-02-01,6.5
50,1980-03-01,7.1
51,1980-04-01,7.8
52,1980-05-01,8.5
53,1980-06-01,9.1
54,1980-07-01,9.4
55,1980-08-01,9.5
56,1980-09-01,9.4
57,1980-10-01,9.2
58,1980-11-01,9.1
59,1980-12-01,9.0
60,1981-01-01,8.9
61,1981-02-01,8.9
62,1981-03-01,8.9
63,1981-04-01,8.8
64,1981-05-01,8.8
65,1981-06-01,8.8
66,1981-07-01,9.0
67,1981-08-01,9.3
68,1981-09-01,9.7
69,1981-10-01,10.1
70,1981-11-01,10.6
71,1981-12-01,11.1
72,1982-01-01,11.4
73,1982-02-01,11.7
74,1982-03-01,12.0
75,1982-04-01,12.1
76,1982-05-01,12.3
77,1982-06-01,12.4
78,1982-07-01,12.7
79,1982-08-01,12.9
80,1982-09-01,13.3
81,1982-10-01,13.6
82,1982-11-01,13.9
83,1982-12-01,14.0
84,1983-01-01,14.0
85,1983-02-01,13.9
86,1983-03-01,13.6
87,1983-04-01,13.4
88,1983-05-01,13.0
89,1983-06-01,12.7
90,1983-07-01,12.3
91,1983-08-01,11.9
92,1983-09-01,11.5
93,1983-10-01,11.1
94,1983-11-01,10.7
95,1983-12-01,10.4
96,1984-01-01,10.2
97,1984-02-01,10.0
98,1984-03-01,9.8
99,1984-04-01,9.7
100,1984-05-01,9.6
101,1984-06-01,9.4
102,1984-07-01,9.3
103,1984-08-01,9.2
104,1984-09-01,9.2
105,1984-10-01,9.1
106,1984-11-01,9.1
107,1984-12-01,9.0
108,1985-01-01,8.9
109,1985-02-01,8.9
110,1985-03-01,8.8
111,1985-04-01,8.8
112,1985-05-01,8.9
113,1985-06-01,8.9
114,1985-07-01,9.0
115,1985-08-01,9.1
116,1985-09-01,9.0
117,1985-10-01,8.9
118,1985-11-01,8.8
119,1985-12-01,8.6
120,1986-01-01,8.5
121,1986-02-01,8.4
122,1986-03-01,8.4
123,1986-04-01,8.4
124,1986-05-01,8.4
125,1986-06-01,8.4
126,1986-07-01,8.3
127,1986-08-01,8.3
128,1986-09-01,8.2
129,1986-10-01,8.2
130,1986-11-01,8.1
131,1986-12-01,8.1
132,1987-01-01,8.0
133,1987-02-01,7.9
134,1987-03-01,7.7
135,1987-04-01,7.6
136,1987-05-01,7.4
137,1987-06-01,7.2
138,1987-07-01,7.0
139,1987-08-01,6.8
140,1987-09-01,6.6
141,1987-10-01,6.4
142,1987-11-01,6.4
143,1987-12-01,6.4
144,1988-01-01,6.4
145,1988-02-01,6.4
146,1988-03-01,6.3
147,1988-04-01,6.2
148,1988-05-01,6.1
149,1988-06-01,6.0
150,1988-07-01,5.9
151,1988-08-01,5.9
152,1988-09-01,5.9
153,1988-10-01,5.8
154,1988-11-01,5.7
155,1988-12-01,5.5
156,1989-01-01,5.4
157,1989-02-01,5.2
158,1989-03-01,5.2
159,1989-04-01,5.2
160,1989-05-01,5.3
161,1989-06-01,5.4
162,1989-07-01,5.5
163,1989-08-01,5.7
164,1989-09-01,5.9
165,1989-10-01,6.0
166,1989-11-01,6.0
167,1989-12-01,5.9
168,1990-01-01,5.8
169,1990-02-01,5.6
170,1990-03-01,5.5
171,1990-04-01,5.5
172,1990-05-01,5.5
173,1990-06-01,5.5
174,1990-07-01,5.6
175,1990-08-01,5.6
176,1990-09-01,5.6
177,1990-10-01,5.7
178,1990-11-01,5.9
179,1990-12-01,6.2
180,1991-01-01,6.4
181,1991-02-01,6.6
182,1991-03-01,6.7
183,1991-04-01,6.7
184,1991-05-01,6.6
185,1991-06-01,6.5
186,1991-07-01,6.4
187,1991-08-01,6.3
188,1991-09-01,6.3
189,1991-10-01,6.3
190,1991-11-01,6.5
191,1991-12-01,6.7
192,1992-01-01,6.9
193,1992-02-01,7.1
194,1992-03-01,7.3
195,1992-04-01,7.4
196,1992-05-01,7.5
197,1992-06-01,7.6
198,1992-07-01,7.6
199,1992-08-01,7.5
200,1992-09-01,7.5
201,1992-10-01,7.4
202,1992-11-01,7.3
203,1992-12-01,7.2
204,1993-01-01,7.1
205,1993-02-01,7.0
206,1993-03-01,6.8
207,1993-04-01,6.7
208,1993-05-01,6.6
209,1993-06-01,6.5
210,1993-07-01,6.5
211,1993-08-01,6.5
212,1993-09-01,6.5
213,1993-10-01,6.4
