,Year,Month,State,Unemployment Rate
1,2017,Jan,California,5.6
2,2017,Feb,California,5.4
3,2017,Mar,California,5.1
4,2017,Apr,California,4.7
5,2017,May,California,4.4
6,2017,Jun,California,4.9
7,2017,Jul,California,5.1
8,2017,Aug,California,5.0
9,2017,Sep,California,4.4
10,2017,Oct,California,4.3
11,2017,Nov,California,4.3
12,2017,Dec,California,4.3
13,2016,Annual,California,5.5
14,2016,Jan,California,5.9
15,2016,Feb,California,5.7
16,2016,Mar,California,5.8
17,2016,Apr,California,5.3
18,2016,May,California,5.0
19,2016,Jun,California,5.6
20,2016,Jul,California,5.8
21,2016,Aug,California,5.6
22,2016,Sep,California,5.3
23,2016,Oct,California,5.3
24,2016,Nov,California,5.1
25,2016,Dec,California,5.1
26,2015,Annual,California,6.2
27,2015,Jan,California,7.2
28,2015,Feb,California,6.8
29,2015,Mar,California,6.6
30,2015,Apr,California,6.1
31,2015,May,California,6.1
32,2015,Jun,California,6.3
33,2015,Jul,California,6.5
34,2015,Aug,California,6.1
35,2015,Sep,California,5.7
36,2015,Oct,California,5.7
37,2015,Nov,California,5.7
38,2015,Dec,California,5.6
39,2014,Annual,California,7.5
40,2014,Jan,California,8.4
41,2014,Feb,California,8.4
42,2014,Mar,California,8.2
43,2014,Apr,California,7.3
44,2014,May,California,7.2
45,2014,Jun,California,7.5
46,2014,Jul,California,8.0
47,2014,Aug,California,7.6
48,2014,Sep,California,7.0
49,2014,Oct,California,6.9
50,2014,Nov,California,6.9
51,2014,Dec,California,6.6
52,2013,Annual,California,8.9
53,2013,Jan,California,10.2
54,2013,Feb,California,9.7
55,2013,Mar,California,9.3
56,2013,Apr,California,8.7
57,2013,May,California,8.6
58,2013,Jun,California,9.2
59,2013,Jul,California,9.4
60,2013,Aug,California,8.9
61,2013,Sep,California,8.5
62,2013,Oct,California,8.5
63,2013,Nov,California,8.2
64,2013,Dec,California,8.0
65,2012,Annual,California,10.4
66,2012,Jan,California,11.4
67,2012,Feb,California,11.3
68,2012,Mar,California,11.0
69,2012,Apr,California,10.3
70,2012,May,California,10.2
71,2012,Jun,California,10.6
72,2012,Jul,California,10.9
73,2012,Aug,California,10.4
74,2012,Sep,California,9.6
75,2012,Oct,California,9.7
76,2012,Nov,California,9.5
77,2012,Dec,California,9.6
78,2011,Annual,California,11.7
79,2011,Jan,California,12.6
80,2011,Feb,California,12.2
81,2011,Mar,California,12.1
82,2011,Apr,California,11.5
83,2011,May,California,11.3
84,2011,Jun,California,12.0
85,2011,Jul,California,12.2
86,2011,Aug,California,11.9
87,2011,Sep,California,11.5
88,2011,Oct,California,11.3
89,2011,Nov,California,11.0
90,2011,Dec,California,11.0
91,2010,Annual,California,12.2
