,State Abbr.,Year,Population,Male Officer Count,Male Civilian Count,Male Total Count,Female Officer Count,Female Civilian Count,Female Total Count,Officer Count,Civilian Count,Total Police Employee Count,Police Employee Count/1000
0,AK,2000,631027,1066.0,208.0,1274.0,103.0,481.0,584.0,1169.0,689.0,1858.0,2.94
1,AL,2000,4488050,9529.0,1847.0,11376.0,769.0,3176.0,3945.0,10298.0,5023.0,15321.0,3.41
2,AR,2000,2934348,5315.0,1130.0,6445.0,541.0,1814.0,2355.0,5856.0,2944.0,8800.0,3.0
3,AS,2000,0,,,,,,,,,,
4,AZ,2000,5248863,9461.0,3364.0,12825.0,1117.0,4319.0,5436.0,10578.0,7683.0,18261.0,3.48
5,CA,2000,34063830,64639.0,12616.0,77255.0,8764.0,23643.0,32407.0,73403.0,36259.0,109662.0,3.22
6,CO,2000,5445709,11073.0,1817.0,12890.0,1552.0,3880.0,5432.0,12625.0,5697.0,18322.0,3.36
7,CT,2000,4283356,8707.0,1074.0,9781.0,729.0,1644.0,2373.0,9436.0,2718.0,12154.0,2.84
8,CZ,2000,0,,,,,,,,,,
9,DC,2000,572059,3332.0,329.0,3661.0,934.0,717.0,1651.0,4266.0,1046.0,5312.0,9.29
10,DE,2000,806621,2371.0,382.0,2753.0,278.0,631.0,909.0,2649.0,1013.0,3662.0,4.54
11,FL,2000,16049613,36004.0,10016.0,46020.0,5279.0,16340.0,21619.0,41283.0,26356.0,67639.0,4.21
12,FS,2000,0,,,,,,,,,,
13,GA,2000,9339048,24666.0,4579.0,29245.0,3449.0,7786.0,11235.0,28115.0,12365.0,40480.0,4.33
14,GM,2000,0,253.0,23.0,276.0,13.0,42.0,55.0,266.0,65.0,331.0,
15,HI,2000,1314665,3031.0,246.0,2989.0,254.0,612.0,866.0,3285.0,858.0,3855.0,2.93
16,IA,2000,3565389,5335.0,966.0,6301.0,358.0,1874.0,2232.0,5693.0,2840.0,8533.0,2.39
17,ID,2000,1345069,2450.0,195.0,2645.0,151.0,850.0,1001.0,2601.0,1045.0,3646.0,2.71
18,IL,2000,12649892,31965.0,5742.0,37707.0,5136.0,7661.0,12797.0,37101.0,13403.0,50504.0,3.99
19,IN,2000,6316200,10608.0,2765.0,13373.0,924.0,3684.0,4608.0,11532.0,6449.0,17981.0,2.85
20,KS,2000,4149346,9457.0,1695.0,11152.0,765.0,2715.0,3480.0,10222.0,4410.0,14632.0,3.53
21,KY,2000,4524298,7897.0,958.0,8855.0,739.0,1649.0,2388.0,8636.0,2607.0,11243.0,2.49
22,LA,2000,4672187,14502.0,1224.0,15726.0,3309.0,2778.0,6087.0,17811.0,4002.0,21813.0,4.67
23,MA,2000,7207900,17145.0,1508.0,18653.0,1410.0,1982.0,3392.0,18555.0,3490.0,22045.0,3.06
