state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
AK,2000,631027,1066,208,1274,103,481,584,1169,689,1858,2.94
AL,2000,4488050,9529,1847,11376,769,3176,3945,10298,5023,15321,3.41
AR,2000,2934348,5315,1130,6445,541,1814,2355,5856,2944,8800,3
AS,2000,0,,,,,,,,,,
AZ,2000,5248863,9461,3364,12825,1117,4319,5436,10578,7683,18261,3.48
CA,2000,34063830,64639,12616,77255,8764,23643,32407,73403,36259,109662,3.22
CO,2000,5445709,11073,1817,12890,1552,3880,5432,12625,5697,18322,3.36
CT,2000,4283356,8707,1074,9781,729,1644,2373,9436,2718,12154,2.84
CZ,2000,0,,,,,,,,,,
DC,2000,572059,3332,329,3661,934,717,1651,4266,1046,5312,9.29
DE,2000,806621,2371,382,2753,278,631,909,2649,1013,3662,4.54
FL,2000,16049613,36004,10016,46020,5279,16340,21619,41283,26356,67639,4.21
FS,2000,0,,,,,,,,,,
GA,2000,9339048,24666,4579,29245,3449,7786,11235,28115,12365,40480,4.33
GM,2000,0,253,23,276,13,42,55,266,65,331,
HI,2000,1314665,3031,246,2989,254,612,866,3285,858,3855,2.93
IA,2000,3565389,5335,966,6301,358,1874,2232,5693,2840,8533,2.39
ID,2000,1345069,2450,195,2645,151,850,1001,2601,1045,3646,2.71
IL,2000,12649892,31965,5742,37707,5136,7661,12797,37101,13403,50504,3.99
IN,2000,6316200,10608,2765,13373,924,3684,4608,11532,6449,17981,2.85
KS,2000,4149346,9457,1695,11152,765,2715,3480,10222,4410,14632,3.53
KY,2000,4524298,7897,958,8855,739,1649,2388,8636,2607,11243,2.49
LA,2000,4672187,14502,1224,15726,3309,2778,6087,17811,4002,21813,4.67
MA,2000,7207900,17145,1508,18653,1410,1982,3392,18555,3490,22045,3.06
MD,2000,5449611,12915,1767,14682,1991,2785,4776,14906,4552,19458,3.57
