Name,,Percent,,Lower Bound,,Upper Bound,,Percent,,Lower Bound,,Upper Bound,
Alabama,,16.9,,16.5,,17.3,,24.4,,23.5,,25.3,
Alaska,,11,,10.4,,11.6,,14.5,,13.3,,15.7,
Arizona,,14.9,,14.6,,15.2,,21,,20.3,,21.7,
Arkansas,,16.3,,15.9,,16.7,,22.5,,21.5,,23.5,
California,,13.3,,13.2,,13.4,,18.1,,17.8,,18.4,
Colorado,,10.3,,10,,10.6,,12.2,,11.5,,12.9,
Connecticut,,9.7,,9.3,,10.1,,13,,12.2,,13.8,
Delaware,,13,,12.4,,13.6,,17.7,,16.5,,18.9,
District of Columbia,,16.6,,15.8,,17.4,,26.2,,23.7,,28.7,
Florida,,14.1,,13.9,,14.3,,20.6,,20.1,,21.1,
Georgia,,15.1,,14.8,,15.4,,21.5,,20.7,,22.3,
Hawaii,,9.5,,9.1,,9.9,,11.9,,10.9,,12.9,
Idaho,,12.6,,12.1,,13.1,,14.8,,13.8,,15.8,
Illinois,,12.5,,12.3,,12.7,,17,,16.5,,17.5,
Indiana,,13.3,,13,,13.6,,17.8,,17.1,,18.5,
Iowa,,10.8,,10.5,,11.1,,12.6,,12,,13.2,
Kansas,,11.9,,11.5,,12.3,,14.7,,13.9,,15.5,
Kentucky,,17.1,,16.7,,17.5,,22.1,,21.3,,22.9,
Louisiana,,19.6,,19.2,,20,,27.7,,26.8,,28.6,
Maine,,11.3,,10.9,,11.7,,14.2,,13.2,,15.2,
Maryland,,9.4,,9.1,,9.7,,12.4,,11.8,,13,
Massachusetts,,10.5,,10.2,,10.8,,13.5,,12.8,,14.2,
Michigan,,14.1,,13.9,,14.3,,19.6,,19.1,,20.1,
Minnesota,,9.5,,9.3,,9.7,,11.7,,11.2,,12.2,
Mississippi,,19.9,,19.5,,20.3,,27.6,,26.7,,28.5,
Missouri,,13.4,,13.1,,13.7,,18.5,,17.8,,19.2,
Montana,,12.7,,12.2,,13.2,,15.9,,14.8,,17,
National,,13.4,,13.3,,13.5,,18.4,,18.2,,18.6,
Nebraska,,10.7,,10.3,,11.1,,13.7,,12.8,,14.6,
Nevada,,13.3,,12.9,,13.7,,19.2,,18.3,,20.1,
New Hampshire,,7.7,,7.3,,8.1,,10,,9,,11,
New Jersey,,10,,9.8,,10.2,,13.8,,13.2,,14.4,
New Mexico,,19,,18.5,,19.5,,25.9,,24.7,,27.1,
New York,,14.1,,13.9,,14.3,,19.9,,19.4,,20.4,
North Carolina,,14.7,,14.4,,15,,21,,20.3,,21.7,
North Dakota,,10.2,,9.7,,10.7,,11.4,,10.4,,12.4,
Ohio,,13.9,,13.7,,14.1,,19.8,,19.2,,20.4,
Oklahoma,,15.8,,15.5,,16.1,,21.3,,20.6,,22,
Oregon,,13.2,,12.9,,13.5,,16.5,,15.6,,17.4,
Pennsylvania,,12.5,,12.3,,12.7,,16.9,,16.4,,17.4,
Rhode Island,,12.3,,11.7,,12.9,,18.2,,16.9,,19.5,
South Carolina,,15.4,,15.1,,15.7,,22.3,,21.5,,23.1,
South Dakota,,12.8,,12.3,,13.3,,16.3,,15.2,,17.4,
Tennessee,,15,,14.7,,15.3,,21.1,,20.4,,21.8,
Texas,,14.7,,14.5,,14.9,,21,,20.6,,21.4,
Utah,,9.7,,9.3,,10.1,,10.6,,9.9,,11.3,
Vermont,,10.8,,10.1,,11.5,,12.8,,11.5,,14.1,
Virginia,,10.7,,10.5,,10.9,,14,,13.4,,14.6,
Washington,,11,,10.8,,11.2,,14.2,,13.6,,14.8,
West Virginia,,18.5,,18,,19,,24.4,,23.2,,25.6,
Wisconsin,,11.3,,11.1,,11.5,,14.6,,14,,15.2,
Wyoming,,10.8,,10.2,,11.4,,12.9,,11.7,,14.1,
