,,,,,,,,,,,,,,,,,,,,,,,
Name,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,Median Household Income (2017),,,
,,1000,,Alabama,,11,,10.5,,9.6,,8,,7.2,,6.8,,6.1,,5.9,,4.4,"$48,193 "
,,2000,,Alaska,,7.7,,7.9,,7.6,,7.1,,7,,6.9,,6.5,,6.9,,7.2,"$74,058 "
,,4000,,Arizona,,9.9,,10.4,,9.5,,8.3,,7.7,,6.8,,6.1,,5.4,,4.9,"$56,508 "
,,5000,,Arkansas,,7.8,,8.2,,8.3,,7.6,,7.2,,6,,5,,3.9,,3.7,"$45,916 "
,,6000,,California,,11.2,,12.2,,11.7,,10.4,,8.9,,7.5,,6.2,,5.5,,4.8,"$71,785 "
,,8000,,Colorado,,7.3,,8.7,,8.4,,7.9,,6.9,,5,,3.9,,3.3,,2.8,"$69,113 "
,,9000,,Connecticut,,7.9,,9.1,,8.8,,8.3,,7.8,,6.6,,5.7,,5.1,,4.7,"$74,428 "
,,10000,,Delaware,,8.3,,8.4,,7.5,,7.2,,6.7,,5.7,,4.9,,4.5,,4.6,"$64,085 "
,,11000,,District of Columbia,,9.3,,9.4,,10.2,,9,,8.5,,7.8,,6.9,,6.1,,6.1,"$80,153 "
,,12000,,Florida,,10.4,,11.1,,10,,8.5,,7.2,,6.3,,5.5,,4.8,,4.2,"$52,582 "
,,13000,,Georgia,,9.9,,10.5,,10.2,,9.2,,8.2,,7.1,,6,,5.4,,4.7,"$56,117 "
,,15000,,Hawaii,,7.2,,6.9,,6.8,,6,,4.9,,4.4,,3.6,,2.9,,2.4,"$77,936 "
,,16000,,Idaho,,8.8,,9,,8.3,,7.2,,6.1,,4.9,,4.2,,3.8,,3.2,"$52,280 "
,,17000,,Illinois,,10.2,,10.4,,9.7,,9,,9,,7.1,,6,,5.8,,5,"$63,044 "
,,18000,,Indiana,,10.3,,10.4,,9.1,,8.3,,7.7,,6,,4.8,,4.4,,3.5,"$54,134 "
