Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
"2017","Annual","California","Not Adj","Not Prelim","19,205,300","18,285,500","919,800","4.8"
"2017","Jan","California","Not Adj","Not Prelim","19,069,400","18,000,900","1,068,500","5.6"
"2017","Feb","California","Not Adj","Not Prelim","19,168,500","18,137,400","1,031,100","5.4"
"2017","Mar","California","Not Adj","Not Prelim","19,200,000","18,218,500","981,400","5.1"
"2017","Apr","California","Not Adj","Not Prelim","19,150,300","18,258,800","891,500","4.7"
"2017","May","California","Not Adj","Not Prelim","19,124,600","18,277,100","847,400","4.4"
"2017","Jun","California","Not Adj","Not Prelim","19,193,800","18,260,900","932,900","4.9"
"2017","Jul","California","Not Adj","Not Prelim","19,303,200","18,309,400","993,800","5.1"
"2017","Aug","California","Not Adj","Not Prelim","19,257,200","18,292,700","964,500","5.0"
"2017","Sep","California","Not Adj","Not Prelim","19,356,300","18,498,700","857,500","4.4"
"2017","Oct","California","Not Adj","Not Prelim","19,245,500","18,418,600","826,900","4.3"
"2017","Nov","California","Not Adj","Not Prelim","19,248,400","18,420,600","827,700","4.3"
"2017","Dec","California","Not Adj","Not Prelim","19,146,700","18,332,200","814,500","4.3"
"2016","Annual","California","Not Adj","Not Prelim","19,044,500","18,002,800","1,041,700","5.5"
"2016","Jan","California","Not Adj","Not Prelim","18,874,400","17,760,800","1,113,600","5.9"
"2016","Feb","California","Not Adj","Not Prelim","18,991,800","17,900,500","1,091,300","5.7"
"2016","Mar","California","Not Adj","Not Prelim","19,037,300","17,938,700","1,098,600","5.8"
"2016","Apr","California","Not Adj","Not Prelim","18,965,600","17,953,700","1,011,900","5.3"
"2016","May","California","Not Adj","Not Prelim","18,963,700","18,018,600","945,100","5.0"
"2016","Jun","California","Not Adj","Not Prelim","19,034,100","17,969,600","1,064,500","5.6"
"2016","Jul","California","Not Adj","Not Prelim","19,144,400","18,025,800","1,118,500","5.8"
"2016","Aug","California","Not Adj","Not Prelim","19,110,900","18,035,900","1,075,000","5.6"
"2016","Sep","California","Not Adj","Not Prelim","19,158,400","18,134,000","1,024,400","5.3"
"2016","Oct","California","Not Adj","Not Prelim","19,142,600","18,126,600","1,016,000","5.3"
"2016","Nov","California","Not Adj","Not Prelim","19,098,800","18,127,500","971,300","5.1"
"2016","Dec","California","Not Adj","Not Prelim","19,011,800","18,041,700","970,100","5.1"
"2015","Annual","California","Not Adj","Not Prelim","18,851,100","17,681,800","1,169,200","6.2"
"2015","Jan","California","Not Adj","Not Prelim","18,787,300","17,437,700","1,349,600","7.2"
"2015","Feb","California","Not Adj","Not Prelim","18,817,300","17,529,900","1,287,400","6.8"
"2015","Mar","California","Not Adj","Not Prelim","18,802,700","17,555,200","1,247,500","6.6"
"2015","Apr","California","Not Adj","Not Prelim","18,792,900","17,641,600","1,151,300","6.1"
"2015","May","California","Not Adj","Not Prelim","18,893,900","17,734,500","1,159,400","6.1"
"2015","Jun","California","Not Adj","Not Prelim","18,865,100","17,676,900","1,188,100","6.3"
"2015","Jul","California","Not Adj","Not Prelim","18,926,200","17,686,600","1,239,600","6.5"
"2015","Aug","California","Not Adj","Not Prelim","18,868,400","17,721,100","1,147,200","6.1"
"2015","Sep","California","Not Adj","Not Prelim","18,826,800","17,763,000","1,063,800","5.7"
"2015","Oct","California","Not Adj","Not Prelim","18,882,700","17,810,900","1,071,700","5.7"
"2015","Nov","California","Not Adj","Not Prelim","18,891,700","17,819,700","1,071,900","5.7"
"2015","Dec","California","Not Adj","Not Prelim","18,858,100","17,804,900","1,053,200","5.6"
"2014","Annual","California","Not Adj","Not Prelim","18,714,700","17,310,900","1,403,800","7.5"
"2014","Jan","California","Not Adj","Not Prelim","18,531,700","16,972,300","1,559,500","8.4"
"2014","Feb","California","Not Adj","Not Prelim","18,631,800","17,074,500","1,557,300","8.4"
"2014","Mar","California","Not Adj","Not Prelim","18,696,400","17,157,100","1,539,400","8.2"
"2014","Apr","California","Not Adj","Not Prelim","18,567,400","17,219,100","1,348,400","7.3"
"2014","May","California","Not Adj","Not Prelim","18,650,900","17,301,600","1,349,200","7.2"
"2014","Jun","California","Not Adj","Not Prelim","18,702,100","17,302,900","1,399,200","7.5"
"2014","Jul","California","Not Adj","Not Prelim","18,814,000","17,315,300","1,498,700","8.0"
"2014","Aug","California","Not Adj","Not Prelim","18,778,400","17,347,100","1,431,200","7.6"
"2014","Sep","California","Not Adj","Not Prelim","18,787,600","17,467,500","1,320,200","7.0"
"2014","Oct","California","Not Adj","Not Prelim","18,855,900","17,555,300","1,300,600","6.9"
"2014","Nov","California","Not Adj","Not Prelim","18,840,600","17,536,500","1,304,000","6.9"
"2014","Dec","California","Not Adj","Not Prelim","18,719,600","17,482,000","1,237,600","6.6"
"2013","Annual","California","Not Adj","Not Prelim","18,625,000","16,958,400","1,666,600","8.9"
"2013","Jan","California","Not Adj","Not Prelim","18,598,300","16,692,800","1,905,600","10.2"
"2013","Feb","California","Not Adj","Not Prelim","18,607,200","16,804,100","1,803,200","9.7"
"2013","Mar","California","Not Adj","Not Prelim","18,552,400","16,820,100","1,732,400","9.3"
"2013","Apr","California","Not Adj","Not Prelim","18,550,000","16,928,800","1,621,100","8.7"
"2013","May","California","Not Adj","Not Prelim","18,616,000","17,016,000","1,600,000","8.6"
"2013","Jun","California","Not Adj","Not Prelim","18,705,000","16,975,900","1,729,200","9.2"
"2013","Jul","California","Not Adj","Not Prelim","18,752,000","16,995,600","1,756,400","9.4"
"2013","Aug","California","Not Adj","Not Prelim","18,685,400","17,016,700","1,668,700","8.9"
"2013","Sep","California","Not Adj","Not Prelim","18,690,500","17,105,800","1,584,800","8.5"
"2013","Oct","California","Not Adj","Not Prelim","18,592,100","17,006,000","1,586,200","8.5"
"2013","Nov","California","Not Adj","Not Prelim","18,614,400","17,084,300","1,530,100","8.2"
"2013","Dec","California","Not Adj","Not Prelim","18,536,400","17,054,900","1,481,500","8.0"
"2012","Annual","California","Not Adj","Not Prelim","18,523,800","16,602,700","1,921,100","10.4"
"2012","Jan","California","Not Adj","Not Prelim","18,375,800","16,280,900","2,094,900","11.4"
"2012","Feb","California","Not Adj","Not Prelim","18,467,700","16,388,400","2,079,200","11.3"
"2012","Mar","California","Not Adj","Not Prelim","18,468,000","16,434,000","2,034,000","11.0"
"2012","Apr","California","Not Adj","Not Prelim","18,388,300","16,493,700","1,894,600","10.3"
"2012","May","California","Not Adj","Not Prelim","18,476,500","16,597,700","1,878,800","10.2"
"2012","Jun","California","Not Adj","Not Prelim","18,564,600","16,587,900","1,976,700","10.6"
"2012","Jul","California","Not Adj","Not Prelim","18,618,000","16,583,600","2,034,400","10.9"
"2012","Aug","California","Not Adj","Not Prelim","18,555,000","16,621,600","1,933,500","10.4"
"2012","Sep","California","Not Adj","Not Prelim","18,568,100","16,783,200","1,784,900","9.6"
"2012","Oct","California","Not Adj","Not Prelim","18,650,600","16,848,300","1,802,200","9.7"
"2012","Nov","California","Not Adj","Not Prelim","18,573,300","16,815,200","1,758,100","9.5"
"2012","Dec","California","Not Adj","Not Prelim","18,579,700","16,797,500","1,782,200","9.6"
"2011","Annual","California","Not Adj","Not Prelim","18,415,100","16,258,100","2,157,000","11.7"
"2011","Jan","California","Not Adj","Not Prelim","18,307,200","16,005,300","2,301,900","12.6"
"2011","Feb","California","Not Adj","Not Prelim","18,326,400","16,082,600","2,243,800","12.2"
"2011","Mar","California","Not Adj","Not Prelim","18,353,700","16,138,200","2,215,500","12.1"
"2011","Apr","California","Not Adj","Not Prelim","18,313,700","16,204,900","2,108,800","11.5"
"2011","May","California","Not Adj","Not Prelim","18,332,700","16,261,000","2,071,700","11.3"
"2011","Jun","California","Not Adj","Not Prelim","18,400,500","16,201,200","2,199,400","12.0"
"2011","Jul","California","Not Adj","Not Prelim","18,465,000","16,212,800","2,252,200","12.2"
"2011","Aug","California","Not Adj","Not Prelim","18,497,600","16,301,500","2,196,100","11.9"
"2011","Sep","California","Not Adj","Not Prelim","18,511,100","16,387,300","2,123,800","11.5"
"2011","Oct","California","Not Adj","Not Prelim","18,518,300","16,425,700","2,092,600","11.3"
"2011","Nov","California","Not Adj","Not Prelim","18,485,700","16,445,000","2,040,700","11.0"
"2011","Dec","California","Not Adj","Not Prelim","18,469,300","16,432,100","2,037,200","11.0"
"2010","Annual","California","Not Adj","Not Prelim","18,336,300","16,091,900","2,244,300","12.2"
"2010","Jan","California","Not Adj","Not Prelim","18,178,400","15,863,100","2,315,200","12.7"
"2010","Feb","California","Not Adj","Not Prelim","18,231,500","15,931,100","2,300,400","12.6"
"2010","Mar","California","Not Adj","Not Prelim","18,283,000","15,970,700","2,312,400","12.6"
"2010","Apr","California","Not Adj","Not Prelim","18,357,600","16,156,400","2,201,200","12.0"
"2010","May","California","Not Adj","Not Prelim","18,318,800","16,178,500","2,140,300","11.7"
"2010","Jun","California","Not Adj","Not Prelim","18,330,200","16,123,300","2,206,900","12.0"
"2010","Jul","California","Not Adj","Not Prelim","18,432,500","16,115,900","2,316,500","12.6"
